dataset,classifier,feature_set,num_features,num_train,num_test,sequence_mode,shots_per_class,repeats,test_size,random_state,c,gamma,knn_neighbors,knn_weights,rf_estimators,rf_max_depth,mlp_hidden_sizes,mlp_alpha,mlp_learning_rate,mlp_max_iter,macro_recall_mean,macro_recall_std,macro_f1_mean,macro_f1_std,macro_precision_mean,macro_precision_std,accuracy_mean,accuracy_std,cohen_kappa_mean,cohen_kappa_std,weighted_f1_mean,weighted_f1_std,feature_set_base,pca_components
C:\D\projects\Orca robot hand\orca sim\orca_sim\gesture_sequence_dataset_optimized_v2.csv,svm,raw,252,9,8,yes,3,20,0.2,42,5.0,scale,3,distance,200,0,"128,64",0.0001,0.001,1200,0.638889,0.159571,0.614484,0.155160,0.675556,0.174372,0.631250,0.150390,0.440129,0.228678,0.611890,0.153962,,
C:\D\projects\Orca robot hand\orca sim\orca_sim\gesture_sequence_dataset_optimized_v2.csv,svm,corrected,68,9,8,yes,3,20,0.2,42,5.0,scale,3,distance,200,0,"128,64",0.0001,0.001,1200,0.797222,0.116898,0.780754,0.128905,0.830000,0.132816,0.806250,0.108073,0.702487,0.167441,0.787932,0.120022,,
C:\D\projects\Orca robot hand\orca sim\orca_sim\gesture_sequence_dataset_optimized_v2.csv,svm,optimized_action,68,9,8,yes,3,20,0.2,42,5.0,scale,3,distance,200,0,"128,64",0.0001,0.001,1200,0.838889,0.125339,0.828968,0.139004,0.869722,0.142524,0.850000,0.115920,0.767422,0.179919,0.833839,0.131512,,
C:\D\projects\Orca robot hand\orca sim\orca_sim\gesture_sequence_dataset_optimized_v2.csv,svm,optimized_full,252,9,8,yes,3,20,0.2,42,5.0,scale,3,distance,200,0,"128,64",0.0001,0.001,1200,0.708333,0.189113,0.672341,0.207339,0.714365,0.210303,0.712500,0.185826,0.567505,0.275499,0.683958,0.205854,,
C:\D\projects\Orca robot hand\orca sim\orca_sim\gesture_sequence_dataset_optimized_v2.csv,knn,raw,252,9,8,yes,3,20,0.2,42,5.0,scale,3,distance,200,0,"128,64",0.0001,0.001,1200,0.572222,0.149175,0.539197,0.174469,0.615258,0.222041,0.587500,0.137500,0.359547,0.218740,0.546388,0.165287,,
C:\D\projects\Orca robot hand\orca sim\orca_sim\gesture_sequence_dataset_optimized_v2.csv,knn,corrected,68,9,8,yes,3,20,0.2,42,5.0,scale,3,distance,200,0,"128,64",0.0001,0.001,1200,0.791667,0.128950,0.767103,0.145119,0.803056,0.148848,0.787500,0.125623,0.682179,0.186303,0.776533,0.140790,,
C:\D\projects\Orca robot hand\orca sim\orca_sim\gesture_sequence_dataset_optimized_v2.csv,knn,optimized_action,68,9,8,yes,3,20,0.2,42,5.0,scale,3,distance,200,0,"128,64",0.0001,0.001,1200,0.808333,0.122317,0.780198,0.144047,0.830000,0.132990,0.806250,0.127934,0.711363,0.183956,0.790223,0.137925,,
C:\D\projects\Orca robot hand\orca sim\orca_sim\gesture_sequence_dataset_optimized_v2.csv,knn,optimized_full,252,9,8,yes,3,20,0.2,42,5.0,scale,3,distance,200,0,"128,64",0.0001,0.001,1200,0.641667,0.208962,0.611988,0.231432,0.654861,0.256366,0.637500,0.205015,0.452833,0.310524,0.614141,0.228829,,
C:\D\projects\Orca robot hand\orca sim\orca_sim\gesture_sequence_dataset_optimized_v2.csv,rf,raw,252,9,8,yes,3,20,0.2,42,5.0,scale,3,distance,200,0,"128,64",0.0001,0.001,1200,0.575000,0.208814,0.541780,0.236933,0.606389,0.292441,0.593750,0.201071,0.368823,0.313114,0.551377,0.230396,,
C:\D\projects\Orca robot hand\orca sim\orca_sim\gesture_sequence_dataset_optimized_v2.csv,rf,corrected,68,9,8,yes,3,20,0.2,42,5.0,scale,3,distance,200,0,"128,64",0.0001,0.001,1200,0.875000,0.100730,0.867857,0.105937,0.898611,0.091403,0.868750,0.108073,0.803019,0.161441,0.868631,0.106913,,
C:\D\projects\Orca robot hand\orca sim\orca_sim\gesture_sequence_dataset_optimized_v2.csv,rf,optimized_action,68,9,8,yes,3,20,0.2,42,5.0,scale,3,distance,200,0,"128,64",0.0001,0.001,1200,0.894444,0.115068,0.883373,0.131351,0.905833,0.119380,0.893750,0.113709,0.839496,0.170501,0.887128,0.123525,,
C:\D\projects\Orca robot hand\orca sim\orca_sim\gesture_sequence_dataset_optimized_v2.csv,rf,optimized_full,252,9,8,yes,3,20,0.2,42,5.0,scale,3,distance,200,0,"128,64",0.0001,0.001,1200,0.761111,0.204954,0.747976,0.205889,0.812222,0.182655,0.762500,0.208791,0.637073,0.322615,0.751414,0.207765,,
C:\D\projects\Orca robot hand\orca sim\orca_sim\gesture_sequence_dataset_optimized_v2.csv,mlp,raw,252,9,8,yes,3,20,0.2,42,5.0,scale,3,distance,200,0,"128,64",0.0001,0.001,1200,0.616667,0.195552,0.593360,0.209260,0.639008,0.217414,0.625000,0.181142,0.418845,0.286267,0.596696,0.199817,,
C:\D\projects\Orca robot hand\orca sim\orca_sim\gesture_sequence_dataset_optimized_v2.csv,mlp,corrected,68,9,8,yes,3,20,0.2,42,5.0,scale,3,distance,200,0,"128,64",0.0001,0.001,1200,0.766667,0.174448,0.751706,0.179610,0.791944,0.182789,0.762500,0.176334,0.640983,0.268464,0.755045,0.180594,,
C:\D\projects\Orca robot hand\orca sim\orca_sim\gesture_sequence_dataset_optimized_v2.csv,mlp,optimized_action,68,9,8,yes,3,20,0.2,42,5.0,scale,3,distance,200,0,"128,64",0.0001,0.001,1200,0.811111,0.164242,0.801270,0.169490,0.836667,0.167888,0.812500,0.170018,0.714756,0.257648,0.805179,0.174115,,
C:\D\projects\Orca robot hand\orca sim\orca_sim\gesture_sequence_dataset_optimized_v2.csv,mlp,optimized_full,252,9,8,yes,3,20,0.2,42,5.0,scale,3,distance,200,0,"128,64",0.0001,0.001,1200,0.680556,0.205537,0.665278,0.208349,0.706667,0.218804,0.687500,0.195656,0.521522,0.303831,0.676354,0.199570,,
C:\D\projects\Orca robot hand\orca sim\orca_sim\gesture_sequence_dataset_optimized_v2.csv,svm,raw_pca17,68,9,8,yes,3,20,0.2,42,5.0,scale,3,distance,200,0,"128,64",0.0001,0.001,1200,0.702778,0.158382,0.673849,0.180235,0.764563,0.172293,0.718750,0.147240,0.566996,0.230488,0.690521,0.167522,raw,17
